 mean supply time over 150 iterations,,,D1,D2,,,,,,,,,,,,,
version3,version2,version1,V3-V2,V2-V1,Mean(D1),Mean(D2),,,SD1^2,SD2^2,,"רבס""ים",,,,,
26.90892369,8.660361687,2.957071129,18.248562,5.703290558,20.57928582,5.775733657,5.432273517,0.005248003,2.849171411,0.818224393,,D1 ,[,20.3069508,",",20.85162084,]
29.42838485,10.37705701,2.723228055,19.05132784,7.653828955,,,2.334655592,3.527241949,SD1,SD2,,,,,,,
26.67046132,8.273791806,2.743379919,18.39666951,5.530411887,,,4.763813944,0.060182771,1.687948877,0.904557567,,D2,[,5.629791615,",",5.629791615,]
28.27848897,9.73857751,3.059686723,18.53991146,6.678890787,,,4.159047785,0.815692802,,,,,,,,,
27.68317197,9.041503082,3.287074922,18.64166889,5.75442816,,,3.75435938,0.000453924,-0.272335023,-0.145942042,,,,,,,
27.70330096,8.586094928,2.742137827,19.11720603,5.843957101,,,2.13767731,0.004654438,,,,,,,,,
28.9909342,7.909294839,3.178873582,21.08163936,4.730421257,,,0.252359079,1.092678013,,,,,,,,,
30.91974204,7.769266257,3.139291954,23.15047578,4.629974303,,,6.61101782,1.312764497,,,,,,,,,
28.04239551,8.666174923,3.03335217,19.37622059,5.632822753,,,1.447365958,0.020423526,,,,,,,,,
29.78540803,6.687537498,3.009869071,23.09787053,3.677668427,,,6.343268946,4.401877708,,,,,,,,,
29.76713257,9.052047927,2.574651625,20.71508464,6.477396302,,,0.01844132,0.492330468,,,,,,,,,
26.97215246,8.295770406,2.954965906,18.67638205,5.3408045,,,3.621042747,0.189163371,,,,,,,,,
29.07961442,9.436616315,3.113272453,19.64299811,6.323343862,,,0.876634687,0.299876937,,,,,,,,,
29.18693636,8.22159894,2.700511649,20.96533742,5.521087291,,,0.149035837,0.064844772,,,,,,,,,
27.4981453,8.701382298,2.942885821,18.796763,5.758496477,,,3.177387601,0.00029712,,,,,,,,,
30.96338918,8.922563341,3.008063228,22.04082584,5.914500113,,,2.136099224,0.019256129,,,,,,,,,
29.08870755,7.548011577,2.881028492,21.54069597,4.666983085,,,0.92430948,1.22932783,,,,,,,,,
29.35084398,9.339363234,2.824512959,20.01148075,6.514850275,,,0.322402603,0.546293375,,,,,,,,,
30.87613433,8.882781043,2.984045468,21.99335329,5.898735575,,,1.999586798,0.015129472,,,,,,,,,
30.37040357,7.853582101,2.85967979,22.51682147,4.993902311,,,3.754044387,0.611260253,,,,,,,,,
29.94965785,7.810694802,2.595564769,22.13896305,5.215130033,,,2.432593052,0.314276423,,,,,,,,,
32.22821498,7.631192819,2.746755393,24.59702216,4.884437426,,,16.1422053,0.794408971,,,,,,,,,
30.56782203,7.24572454,2.644345995,23.32209749,4.601378545,,,7.523015851,1.379109928,,,,,,,,,
30.29313272,7.117363603,2.91382537,23.17576912,4.203538233,,,6.741725506,2.47179845,,,,,,,,,
26.65824268,7.846814757,2.938946614,18.81142792,4.907868143,,,3.125321548,0.75319055,,,,,,,,,
32.00450067,6.663989787,3.342420588,25.34051088,3.321569199,,,22.66926409,6.022923186,,,,,,,,,
32.52819476,8.778541451,2.943804515,23.74965331,5.834736936,,,10.05123001,0.003481387,,,,,,,,,
30.87220431,9.140721834,2.835840977,21.73148248,6.304880857,,,1.327557131,0.27999676,,,,,,,,,
31.45535485,8.806598013,2.673821147,22.64875684,6.132776866,,,4.282710285,0.127479853,,,,,,,,,
30.15043799,8.430051735,3.037086415,21.72038626,5.39296532,,,1.3021102,0.1465116,,,,,,,,,
27.49096402,8.324403096,2.926447673,19.16656092,5.397955423,,,1.995791635,0.142716394,,,,,,,,,
28.42620012,8.209181423,2.495241551,20.2170187,5.713939872,,,0.131237469,0.003818472,,,,,,,,,
30.89374368,7.52666553,2.630946111,23.36707815,4.895719419,,,7.771786069,0.774425059,,,,,,,,,
30.5614942,9.296750203,2.881281314,21.264744,6.415468889,,,0.469852911,0.409261167,,,,,,,,,
30.44788013,8.248435458,3.088656643,22.19944467,5.159778815,,,2.624914702,0.379400367,,,,,,,,,
28.19964058,8.238229247,2.751602233,19.96141133,5.486627014,,,0.381768883,0.083582651,,,,,,,,,
30.62227509,7.800411978,2.792991606,22.82186311,5.007420372,,,5.029152905,0.590305303,,,,,,,,,
31.88651797,8.729780756,3.044208431,23.15673721,5.685572325,,,6.643255682,0.008129066,,,,,,,,,
31.90955628,10.09019253,3.021351516,21.81936375,7.068841014,,,1.53779327,1.672126637,,,,,,,,,
28.80169667,9.157118975,2.674695228,19.6445777,6.482423747,,,0.873679281,0.499410884,,,,,,,,,
31.85587855,8.25631385,3.031084875,23.5995647,5.225228975,,,9.122084506,0.303055405,,,,,,,,,
28.32040068,8.965896182,2.955617749,19.3545045,6.010278433,,,1.50008929,0.055011252,,,,,,,,,
30.24761099,10.00332093,2.804992433,20.24429006,7.198328497,,,0.11222216,2.02377608,,,,,,,,,
30.80126061,7.773518426,2.707686309,23.02774218,5.065832117,,,5.994938561,0.503960196,,,,,,,,,
28.86795046,9.107474135,2.807055646,19.76047633,6.300418489,,,0.670448991,0.275294173,,,,,,,,,
26.15875394,8.14057997,2.846033389,18.01817397,5.294546581,,,6.559293914,0.231541002,,,,,,,,,
29.27947693,7.945200132,2.45207654,21.3342768,5.493123592,,,0.570011375,0.079868449,,,,,,,,,
30.17691528,9.720251437,2.724963576,20.45666384,6.995287861,,,0.01503615,1.487312457,,,,,,,,,
28.87456826,8.195472046,2.910216608,20.67909621,5.285255438,,,0.009962115,0.240568883,,,,,,,,,
29.08682533,9.549824876,2.805111341,19.53700045,6.744713535,,,1.086358787,0.938922004,,,,,,,,,
26.91884994,8.243645978,2.828899293,18.67520396,5.414746685,,,3.625527726,0.130311594,,,,,,,,,
29.59028544,8.133744953,2.980141584,21.45654049,5.153603369,,,0.769575749,0.387046095,,,,,,,,,
31.43736938,8.245264323,2.844260919,23.19210506,5.401003404,,,6.826824359,0.140422762,,,,,,,,,
27.09685242,8.043743328,2.841498461,19.05310909,5.202244867,,,2.329215409,0.328889392,,,,,,,,,
29.35522228,7.107974195,2.68703916,22.24724809,4.420935035,,,2.782098114,1.835479305,,,,,,,,,
30.60089871,8.97984659,3.081993527,21.62105212,5.897853063,,,1.085277021,0.014913149,,,,,,,,,
31.31083672,9.895183837,3.341223304,21.41565288,6.553960533,,,0.699509862,0.605637071,,,,,,,,,
28.85748835,9.176685314,3.006246051,19.68080304,6.170439263,,,0.807271315,0.155792516,,,,,,,,,
28.10577815,9.57961142,3.114976262,18.52616673,6.464635158,,,4.215298003,0.474585278,,,,,,,,,
30.90493342,9.666474062,3.426472671,21.23845936,6.240001391,,,0.434509752,0.215544529,,,,,,,,,
29.96247583,11.02183767,2.994256024,18.94063816,8.027581646,,,2.685166157,5.070819367,,,,,,,,,
28.2282011,8.79305949,2.722142035,19.43514161,6.070917455,,,1.309065976,0.087133475,,,,,,,,,
30.4062419,8.86149636,3.228323847,21.54474554,5.633172513,,,0.932112469,0.02032368,,,,,,,,,
27.14909402,8.144837536,3.12088411,19.00425648,5.023953426,,,2.480717413,0.565173515,,,,,,,,,
28.85743969,8.322949835,3.178044173,20.53448986,5.144905662,,,0.002006679,0.397943959,,,,,,,,,
29.60892531,7.449670123,3.270298436,22.15925519,4.179371687,,,2.496303197,2.548371538,,,,,,,,,
27.27842899,8.7005712,2.976320167,18.57785779,5.724251033,,,4.005714164,0.002650461,,,,,,,,,
31.82778499,8.737812156,2.707921644,23.08997283,6.029890512,,,6.303549276,0.064595707,,,,,,,,,
29.30310443,9.280590335,2.642969097,20.0225141,6.637621238,,,0.309994755,0.742850203,,,,,,,,,
29.78356916,10.21515155,3.275422062,19.56841761,6.939729488,,,1.02185454,1.354886295,,,,,,,,,
30.01766327,9.969307384,3.100320465,20.04835589,6.868986919,,,0.281886596,1.195202695,,,,,,,,,
29.44284091,9.828825484,2.931364481,19.61401543,6.897461003,,,0.931746936,1.258272239,,,,,,,,,
29.28725484,8.38840264,2.533203023,20.8988522,5.855199617,,,0.10212267,0.006314839,,,,,,,,,
32.02110273,9.439202631,3.065080542,22.5819001,6.374122089,,,4.010463946,0.358068716,,,,,,,,,
29.99575553,7.609269179,2.839394598,22.38648635,4.769874581,,,3.265973755,1.01175248,,,,,,,,,
26.39906035,7.052552248,2.693598987,19.3465081,4.358953261,,,1.519740905,2.00726669,,,,,,,,,
29.06843742,9.321104904,2.788553229,19.74733252,6.532551675,,,0.692146302,0.572773513,,,,,,,,,
29.49615134,8.787723081,2.774216904,20.70842826,6.013506177,,,0.016677769,0.056535771,,,,,,,,,
30.05656292,8.371434043,2.559881609,21.68512888,5.811552434,,,1.222888864,0.001282985,,,,,,,,,
30.95879364,9.349983876,3.067381978,21.60880976,6.282601898,,,1.059919549,0.256915414,,,,,,,,,
30.54462364,10.13882552,2.63806421,20.40579812,7.50076131,,,0.030097982,2.975720405,,,,,,,,,
27.14551477,7.822398866,2.585335724,19.3231159,5.237063142,,,1.577962861,0.290165923,,,,,,,,,
30.25713448,6.858093761,2.886123533,23.39904072,3.971970228,,,7.951017684,3.253562507,,,,,,,,,
25.85274804,8.688532826,3.04811578,17.16421521,5.640417046,,,11.66270725,0.018310585,,,,,,,,,
29.61296405,9.086959468,2.928214878,20.52600458,6.15874459,,,0.00283889,0.146697375,,,,,,,,,
28.21811016,7.532110573,3.300064041,20.68599959,4.232046532,,,0.011387828,2.382969939,,,,,,,,,
27.23925154,8.245328628,3.176071695,18.99392291,5.069256933,,,2.513375554,0.499109361,,,,,,,,,
30.97714431,10.74529952,2.958885945,20.23184479,7.786413575,,,0.12071527,4.042833734,,,,,,,,,
29.04948045,8.258610092,3.176565455,20.79087036,5.082044637,,,0.044768016,0.481204456,,,,,,,,,
29.67120473,7.404456528,2.90360267,22.2667482,4.500853858,,,2.847529287,1.625318501,,,,,,,,,
30.34563586,7.341516524,2.718700251,23.00411934,4.622816273,,,5.879817575,1.329218494,,,,,,,,,
29.75102608,7.705548887,2.935452831,22.04547719,4.770096056,,,2.149717139,1.011306984,,,,,,,,,
29.84012987,9.696233019,2.91869259,20.14389685,6.777540429,,,0.189563555,1.003616809,,,,,,,,,
28.8933224,8.796381147,3.141302029,20.09694125,5.655079118,,,0.232656282,0.014557518,,,,,,,,,
29.28329113,8.68912237,2.96317201,20.59416876,5.72595036,,,0.000221502,0.002478377,,,,,,,,,
30.47062765,9.541570028,2.90517054,20.92905762,6.636399488,,,0.122340313,0.740745673,,,,,,,,,
27.87129723,9.189645404,3.011564379,18.68165183,6.178081025,,,3.60101478,0.161883405,,,,,,,,,
28.95545634,8.667871922,2.888424886,20.28758442,5.779447036,,,0.085089709,1.37892E-05,,,,,,,,,
28.65144582,9.37692938,3.630738664,19.27451644,5.746190716,,,1.702423138,0.000872785,,,,,,,,,
28.98377501,7.519542247,2.727711176,21.46423276,4.791831071,,,0.78313109,0.968064298,,,,,,,,,
29.04741293,8.612215624,3.071849414,20.43519731,5.54036621,,,0.0207615,0.055397835,,,,,,,,,
27.72454057,8.152216115,2.831884475,19.57232446,5.32033164,,,1.013971193,0.207390997,,,,,,,,,
27.05272885,8.724108393,3.168149552,18.32862046,5.555958841,,,5.065494581,0.04830097,,,,,,,,,
28.19635778,8.672110613,2.667315852,19.52424717,6.004794761,,,1.113106562,0.052468989,,,,,,,,,
30.82338172,9.460000317,2.987353687,21.3633814,6.47264663,,,0.614805881,0.485687692,,,,,,,,,
27.59091561,7.909526752,2.940187842,19.68138886,4.96933891,,,0.806218956,0.650272488,,,,,,,,,
29.402304,8.311016303,2.859617804,21.0912877,5.451398499,,,0.262145921,0.105193295,,,,,,,,,
27.95477234,9.388865014,2.918346661,18.56590733,6.470518353,,,4.053692965,0.482725774,,,,,,,,,
29.41938237,9.563894346,3.018747173,19.85548802,6.545147173,,,0.523883251,0.591997159,,,,,,,,,
29.66581669,9.507482843,2.901030175,20.15833385,6.606452668,,,0.177200565,0.690094076,,,,,,,,,
27.58560231,9.221090255,3.197284123,18.36451206,6.023806132,,,4.905222835,0.061539953,,,,,,,,,
29.31570193,8.282577638,2.796314938,21.03312429,5.4862627,,,0.205969358,0.083793435,,,,,,,,,
29.45902908,7.95284925,2.767681508,21.50617983,5.185167742,,,0.859132504,0.3487681,,,,,,,,,
29.79105282,8.709548583,3.068475593,21.08150424,5.64107299,,,0.252223337,0.018133495,,,,,,,,,
31.53715395,8.957847121,2.639043834,22.57930683,6.318803287,,,4.000084032,0.294924623,,,,,,,,,
29.51570453,7.896143079,2.96667337,21.61956145,4.929469709,,,1.082173386,0.716162669,,,,,,,,,
28.1842212,8.836690574,2.670275417,19.34753063,6.166415157,,,1.517220861,0.152632035,,,,,,,,,
28.32862062,9.352470604,2.826733761,18.97615002,6.525736843,,,2.57004441,0.562504779,,,,,,,,,
26.62690463,7.609480146,2.720901161,19.01742448,4.888578985,,,2.439410837,0.787043412,,,,,,,,,
26.82045166,9.834963164,2.959867014,16.9854885,6.87509615,,,12.91537921,1.208597892,,,,,,,,,
29.10942627,9.637773681,2.888888888,19.47165259,6.748884793,,,1.226851377,0.947023134,,,,,,,,,
29.58273305,8.563332068,2.908705861,21.01940098,5.654626207,,,0.193701355,0.014667014,,,,,,,,,
29.98301257,9.144799263,3.08044079,20.83821331,6.064358473,,,0.067043443,0.083304285,,,,,,,,,
